MSSV,Họ,Tên,Lớp,Điểm
N24DCPT023,Lê,Hương Giang,D24CQPM01,8.2
N24DCPT024,Phạm,Thế Dũng,D24CQIT01,7.9
N24DCPT025,Võ,Kiều Trang,D24CQIS03,8.7
N24DCPT026,Đỗ,Hữu Phước,D24CQTE02,6.5
N24DCPT027,Huỳnh,Thảo Vy,D24CQPM03,8.1
N24DCPT028,Ngô,Đình Khôi,D24CQIT02,7.7
N24DCPT029,Đặng,Phương Thảo,D24CQIS01,9.5
N24DCPT030,Bùi,Minh Quân,D24CQTE01,6.9
N24DCPT031,Trương,Ngọc Diệp,D24CQPM02,8.0
N24DCPT032,Vũ,Hồng Đức,D24CQIT03,7.6
N24DCPT033,Cao,Diễm My,D24CQIS02,9.1
N24DCPT034,Mai,Quang Thắng,D24CQTE03,6.3
N24DCPT035,Lý,Bảo Trân,D24CQPM01,8.9
N24DCPT036,Dương,Hải Đăng,D24CQIT01,7.1
N24DCPT037,Trịnh,Thu Hà,D24CQIS03,8.8
N24DCPT038,Hồ,Tấn Thành,D24CQTE02,7.4
N24DCPT039,Lâm,Hạnh Chi,D24CQPM03,8.5
N24DCPT040,Đinh,Văn Thọ,D24CQIT02,6.7
N24DCPT041,Nguyễn,Thanh Huyền,D24CQIS01,9.2
N24DCPT042,Trần,Đức Anh,D24CQTE01,7.3
N24DCPT043,Lê,Diệu Hương,D24CQPM02,8.4
N24DCPT044,Phạm,Minh Hiếu,D24CQIT03,7.8
N24DCPT045,Võ,Thúy Nga,D24CQIS02,9.0
N24DCPT046,Đỗ,Quốc Huy,D24CQTE03,6.6
N24DCPT047,Huỳnh,Lan Anh,D24CQPM01,8.2
N24DCPT048,Ngô,Thành Đạt,D24CQIT01,7.5
N24DCPT049,Đặng,Bích Thảo,D24CQIS03,9.4
N24DCPT050,Bùi,Hoàng Việt,D24CQTE02,6.8
N24DCPT051,Trương,Phương Anh,D24CQPM03,8.6
N24DCPT052,Vũ,Quang Hải,D24CQIT02,7.2
N24DCPT053,Cao,Thu Hằng,D24CQIS01,9.1
N24DCPT054,Mai,Tấn Dũng,D24CQTE01,7.0
N24DCPT055,Lý,Ngọc Mai,D24CQPM02,8.3
N24DCPT056,Dương,Hữu Thành,D24CQIT03,6.9
N24DCPT057,Trịnh,Diệu Thúy,D24CQIS02,8.9
N24DCPT058,Hồ,Văn Đức,D24CQTE03,7.7
N24DCPT059,Lâm,Hương Ly,D24CQPM01,8.1
N24DCPT060,Đinh,Quang Minh,D24CQIT01,7.4
N24DCPT061,Nguyễn,Thu Trang,D24CQIS03,9.3
N24DCPT062,Trần,Hữu Đạt,D24CQTE02,6.5
N24DCPT063,Lê,Kiều Oanh,D24CQPM03,8.8
N24DCPT064,Phạm,Quốc Thái,D24CQIT02,7.6
N24DCPT065,Võ,Mỹ Linh,D24CQIS01,9.2
N24DCPT066,Đỗ,Thành Luân,D24CQTE01,6.8
N24DCPT067,Huỳnh,Hạnh Phương,D24CQPM02,8.0
N24DCPT068,Ngô,Minh Khang,D24CQIT03,7.3
N24DCPT069,Đặng,Thảo Nguyên,D24CQIS02,9.0
N24DCPT070,Bùi,Đức Thịnh,D24CQTE03,7.1
N24DCPT071,Trương,Yến Nhi,D24CQPM01,8.5
N24DCPT072,Vũ,Hồng Phước,D24CQIT01,6.7
N24DCPT073,Cao,Thúy Hằng,D24CQIS03,9.4
N24DCPT074,Mai,Hoàng Đức,D24CQTE02,7.8
N24DCPT075,Lý,Diễm Quỳnh,D24CQPM03,8.2
N24DCPT076,Dương,Văn Thành,D24CQIT02,7.0
N24DCPT077,Trịnh,Bảo Ngọc,D24CQIS01,8.7
N24DCPT078,Hồ,Quang Dũng,D24CQTE01,6.9
N24DCPT079,Lâm,Thiên An,D24CQPM02,8.4
N24DCPT080,Đinh,Tấn Phát,D24CQIT03,7.5
N24DCPT081,Nguyễn,Huyền Trang,D24CQIS02,9.1
N24DCPT082,Trần,Minh Thắng,D24CQTE03,6.6
N24DCPT083,Lê,Thu Phương,D24CQPM01,8.6
N24DCPT084,Phạm,Quý Hưng,D24CQIT01,7.9
N24DCPT085,Võ,Thanh Thảo,D24CQIS03,8.8
N24DCPT086,Đỗ,Hải Nam,D24CQTE02,7.2
N24DCPT087,Huỳnh,Ngọc Trâm,D24CQPM03,8.3
N24DCPT088,Ngô,Đức Huy,D24CQIT02,6.8
N24DCPT089,Đặng,Mỹ Hương,D24CQIS01,9.3
N24DCPT090,Bùi,Thành Công,D24CQTE01,7.4
N24DCPT091,Trương,Diễm Hạnh,D24CQPM02,8.1
N24DCPT092,Vũ,Quang Thắng,D24CQIT03,7.7
N24DCPT093,Cao,Hương Giang,D24CQIS02,9.2
N24DCPT094,Mai,Văn Minh,D24CQTE03,6.4
N24DCPT095,Lý,Thảo Vy,D24CQPM01,8.9
N24DCPT096,Dương,Hữu Phước,D24CQIT01,7.1
N24DCPT097,Trịnh,Kiều Trang,D24CQIS03,8.8
N24DCPT098,Hồ,Tấn Lộc,D24CQTE02,7.6
N24DCPT099,Lâm,Diệu Linh,D24CQPM03,8.5
N24DCPT100,Đinh,Quốc Bảo,D24CQIT02,6.7
